,0.09230769230769231
%,0.7692307692307693
-0.07,0.015384615384615385
-0.08,0.015384615384615385
-0.18,0.015384615384615385
-0.30,0.015384615384615385
-10,0.015384615384615385
-1131T,0.015384615384615385
-1131T/C,0.046153846153846156
-26,0.015384615384615385
-493T,0.015384615384615385
-5,0.015384615384615385
-514T,0.015384615384615385
-6,0.015384615384615385
-70,0.015384615384615385
-8,0.046153846153846156
-9,0.015384615384615385
0.05-0.10,0.015384615384615385
0.23-1.00,0.015384615384615385
0.39-0.98,0.015384615384615385
1.7,0.015384615384615385
2,0.015384615384615385
4,0.015384615384615385
6.6,0.015384615384615385
<,0.27692307692307694
=,0.4153846153846154
>,0.06153846153846154
A,0.015384615384615385
A-V,0.015384615384615385
AA,0.03076923076923077
AA/AG,0.03076923076923077
ABCA1,0.09230769230769231
ACTCCG,0.015384615384615385
AD,0.1076923076923077
ADD1,0.03076923076923077
ADIPOR2,0.015384615384615385
AG/GG,0.015384615384615385
ALDH2,0.03076923076923077
AMD,0.18461538461538463
ANGPTL3,0.03076923076923077
ANOVA,0.015384615384615385
APOA5,0.3384615384615385
APOA5-S19W,0.015384615384615385
APOB,0.06153846153846154
APOC3,0.015384615384615385
APOE,0.18461538461538463
APOE-epsilon4,0.015384615384615385
ARMS2,0.015384615384615385
AUC,0.015384615384615385
Adults,0.015384615384615385
Africa,0.015384615384615385
African,0.015384615384615385
Alzheimer,0.015384615384615385
Americans,0.23076923076923078
Architecture,0.015384615384615385
Artery,0.015384615384615385
Asn291Ser,0.06153846153846154
Associations,0.015384615384615385
B1/B2,0.015384615384615385
B1B1,0.015384615384615385
B2,0.015384615384615385
BMI,0.12307692307692308
BP,0.046153846153846156
Body,0.015384615384615385
Bonferroni,0.015384615384615385
Busselton,0.015384615384615385
C,0.12307692307692308
C/T,0.015384615384615385
C/X,0.015384615384615385
C679X,0.015384615384615385
CASPIAN-III,0.015384615384615385
CC,0.1076923076923077
CD4,0.09230769230769231
CD8,0.046153846153846156
CD8-T,0.015384615384615385
CETP,0.35384615384615387
CFH,0.015384615384615385
CG,0.03076923076923077
CG+GG,0.015384615384615385
CHD,0.2153846153846154
CI,0.26153846153846155
CI=0.36-1.55,0.015384615384615385
CI=0.40-3.62,0.015384615384615385
CI=0.41-1.69,0.015384615384615385
CI=0.48-1.81,0.015384615384615385
CI=0.63-1.97,0.015384615384615385
CI=0.66-0.98,0.015384615384615385
CI=0.71-1.68,0.015384615384615385
CI=1.05-5.25,0.015384615384615385
CI=1.17-1.78,0.015384615384615385
CT+TT,0.015384615384615385
CVD,0.03076923076923077
CYP7A1,0.015384615384615385
Carriers,0.046153846153846156
China,0.03076923076923077
Common,0.03076923076923077
Complications,0.015384615384615385
Consequently,0.015384615384615385
Coronary,0.015384615384615385
D9N,0.12307692307692308
DPT,0.015384615384615385
DXA,0.015384615384615385
Development,0.015384615384615385
Disorder,0.015384615384615385
Doetinchem,0.015384615384615385
Dyslipidaemia,0.015384615384615385
ESR1,0.07692307692307693
Eastern,0.015384615384615385
Epidemiology,0.015384615384615385
Epistasis,0.015384615384615385
FA,0.015384615384615385
FABP2,0.06153846153846154
FAs,0.046153846153846156
FCHL,0.09230769230769231
FDR,0.015384615384615385
FDR_q,0.06153846153846154
Functional,0.015384615384615385
Furthermore,0.015384615384615385
G,0.046153846153846156
G188E,0.03076923076923077
GA,0.015384615384615385
GALNT2,0.015384615384615385
GALNTN2,0.015384615384615385
GCK,0.03076923076923077
GCKR,0.09230769230769231
GEnomics,0.015384615384615385
GG,0.09230769230769231
GWA,0.046153846153846156
GWAS,0.03076923076923077
Genome-wide,0.015384615384615385
Genomics,0.015384615384615385
HAART,0.015384615384615385
HDL,0.13846153846153847
HDL-C,0.5384615384615384
HDL-C.,0.015384615384615385
HDL-cholesterol,0.046153846153846156
HDLc,0.1076923076923077
HEK-293T,0.015384615384615385
HELENA,0.015384615384615385
HIV,0.015384615384615385
HIV+,0.015384615384615385
HL,0.046153846153846156
HMGCR,0.015384615384615385
HNF4A,0.03076923076923077
HR,0.03076923076923077
HT,0.09230769230769231
HTG,0.12307692307692308
Hap1,0.03076923076923077
Hap4,0.09230769230769231
Health,0.015384615384615385
HindIII,0.16923076923076924
Hypertension,0.015384615384615385
Hypertriglyceridemia,0.015384615384615385
Hypothyroidism,0.015384615384615385
IAUC,0.015384615384615385
IC95,0.03076923076923077
ICARIA,0.015384615384615385
ICD-9,0.07692307692307693
IG,0.015384615384615385
IG=2.24,0.015384615384615385
IG=6.20,0.015384615384615385
IL6,0.015384615384615385
Index,0.015384615384615385
Interactions,0.015384615384615385
Iran,0.015384615384615385
Istanbul,0.015384615384615385
January,0.015384615384615385
Just,0.015384615384615385
KCNH2,0.015384615384615385
KCTD10/MVK,0.015384615384615385
LDL,0.07692307692307693
LDL+HDL,0.046153846153846156
LDL-C,0.07692307692307693
LDLR,0.046153846153846156
LIPC,0.1076923076923077
LIPGENE,0.03076923076923077
LIPGENE-SU.VI.MAX,0.015384615384615385
LPL,1.0615384615384615
LPL-HindIII,0.03076923076923077
LPL-S477,0.015384615384615385
LPL-X447,0.015384615384615385
LRP5,0.015384615384615385
LV,0.046153846153846156
LVH,0.07692307692307693
LXR,0.015384615384615385
Lipid,0.015384615384615385
Lipoid,0.015384615384615385
Lipoprotein,0.046153846153846156
Longitudinal,0.046153846153846156
MBTPS2,0.03076923076923077
MEdical,0.015384615384615385
MLXIPL,0.015384615384615385
MTP,0.015384615384615385
MTTP,0.03076923076923077
MetS,0.16923076923076924
Meta-analyses,0.015384615384615385
Mexican,0.03076923076923077
MicroRNAs,0.015384615384615385
N291S,0.06153846153846154
NEFA,0.015384615384615385
NR1H3,0.07692307692307693
NRIP1,0.03076923076923077
Network,0.015384615384615385
Networks,0.015384615384615385
OR,0.16923076923076924
OR=0.75,0.015384615384615385
OR=0.80,0.015384615384615385
OR=0.83,0.015384615384615385
OR=0.93,0.015384615384615385
OR=1.09,0.015384615384615385
OR=1.11,0.015384615384615385
OR=1.21,0.015384615384615385
OR=1.44,0.015384615384615385
OR=2.34,0.015384615384615385
Obesity,0.015384615384615385
P,0.4307692307692308
P-values,0.015384615384615385
P=0.0006,0.015384615384615385
P=0.006,0.015384615384615385
P=0.007,0.015384615384615385
P=0.01,0.015384615384615385
P=0.02,0.015384615384615385
P=0.03,0.015384615384615385
P=0.034,0.015384615384615385
P=0.04,0.015384615384615385
P=0.05,0.015384615384615385
P=0.436,0.015384615384615385
P=0.604,0.015384615384615385
P=0.698,0.015384615384615385
P=0.712,0.015384615384615385
P=0.734,0.015384615384615385
P=0.841,0.015384615384615385
P=3.0510,0.015384615384615385
P=6.3610,0.015384615384615385
PAGE,0.015384615384615385
PCR,0.046153846153846156
PCR-AIRS,0.015384615384615385
PCR-RFLP,0.015384615384615385
PCR/PCR-RFLP,0.015384615384615385
PCSK9,0.046153846153846156
PLTP,0.015384615384615385
PPAR2,0.015384615384615385
PTPN11,0.03076923076923077
PUFA,0.03076923076923077
Pairwise,0.015384615384615385
Participants,0.046153846153846156
Patients,0.015384615384615385
Peroxisome,0.015384615384615385
PheWAS,0.046153846153846156
Pinteraction,0.03076923076923077
Plasma,0.03076923076923077
Population,0.015384615384615385
Populations,0.015384615384615385
PvuII,0.06153846153846154
RLPc,0.015384615384615385
Recent,0.015384615384615385
Records,0.015384615384615385
Risk,0.015384615384615385
Rs328,0.015384615384615385
Rs671,0.015384615384615385
S/S,0.03076923076923077
S/X,0.03076923076923077
S/X+X/X,0.015384615384615385
S19W,0.06153846153846154
S447,0.046153846153846156
S447X,0.18461538461538463
SA,0.07692307692307693
SC4MOL,0.03076923076923077
SCAND1,0.03076923076923077
SHBG,0.015384615384615385
SS,0.015384615384615385
SU.VI.MAX,0.015384615384615385
SUVIMAX,0.015384615384615385
SX,0.015384615384615385
Ser447Stop,0.015384615384615385
Ser447Ter,0.06153846153846154
Seven,0.015384615384615385
Shanghai,0.03076923076923077
Singaporeans,0.015384615384615385
South,0.015384615384615385
Statistical,0.015384615384615385
Substudy,0.015384615384615385
Survey,0.015384615384615385
T,0.015384615384615385
T-93G,0.03076923076923077
T-cell,0.07692307692307693
TAG,0.09230769230769231
TAG-AUC,0.015384615384615385
TAG-IAUC,0.015384615384615385
TBL2/MLXIPL,0.03076923076923077
TC,0.03076923076923077
TG,0.7538461538461538
TG-0.18,0.015384615384615385
TG-lowering,0.03076923076923077
TG-raising,0.015384615384615385
TRIB1,0.06153846153846154
TRL-TG,0.015384615384615385
TT,0.015384615384615385
TaqMan,0.015384615384615385
Triglyceride,0.015384615384615385
Triglycerides,0.015384615384615385
Turkey,0.015384615384615385
U.K.,0.015384615384615385
UCP3,0.015384615384615385
VLDLR,0.015384615384615385
ViSEN,0.03076923076923077
Visualization,0.015384615384615385
X447,0.046153846153846156
X447+,0.015384615384615385
Xhosa,0.015384615384615385
Young,0.015384615384615385
[,0.13846153846153847
],0.2
absence,0.03076923076923077
accumulation,0.015384615384615385
acid,0.03076923076923077
acids,0.06153846153846154
addition,0.046153846153846156
adjustment,0.03076923076923077
adolescence,0.015384615384615385
adolescents,0.12307692307692308
adulthood,0.03076923076923077
age,0.1076923076923077
aim,0.06153846153846154
aims,0.015384615384615385
alcohol,0.07692307692307693
alter,0.015384615384615385
alteration,0.015384615384615385
ancestry,0.06153846153846154
approach,0.03076923076923077
area,0.03076923076923077
artery,0.03076923076923077
assays,0.015384615384615385
assessment,0.015384615384615385
association,0.6
associations,0.4461538461538462
atherosclerosis,0.015384615384615385
authors,0.015384615384615385
basis,0.015384615384615385
binding,0.015384615384615385
binding-site,0.015384615384615385
binding-sites,0.03076923076923077
birth,0.046153846153846156
blood,0.1076923076923077
body,0.06153846153846154
boys,0.015384615384615385
c.1959T,0.015384615384615385
candidate,0.06153846153846154
candidates,0.015384615384615385
cardiovascular,0.015384615384615385
cardiovascular-diseases,0.015384615384615385
carotid,0.03076923076923077
carriers,0.13846153846153847
case,0.015384615384615385
case-control,0.03076923076923077
cases,0.046153846153846156
category,0.03076923076923077
cell,0.015384615384615385
cells,0.03076923076923077
chain,0.015384615384615385
challenge,0.03076923076923077
change,0.015384615384615385
changes,0.046153846153846156
children,0.06153846153846154
cholesterol,0.23076923076923078
cholesteryl,0.03076923076923077
cholesteryl-ester-transfer-protein,0.015384615384615385
chylomicrons,0.015384615384615385
circulating,0.015384615384615385
circumference,0.015384615384615385
code,0.046153846153846156
codes,0.015384615384615385
cohort,0.1076923076923077
combination,0.03076923076923077
combinations,0.06153846153846154
comparison,0.015384615384615385
comparisons,0.015384615384615385
components,0.046153846153846156
composition,0.03076923076923077
concentration,0.13846153846153847
concentrations,0.27692307692307694
conclusion,0.09230769230769231
confidence,0.03076923076923077
consequence,0.015384615384615385
constructs,0.015384615384615385
consumption,0.046153846153846156
contribute,0.015384615384615385
contribution,0.015384615384615385
contributions,0.03076923076923077
control,0.015384615384615385
controls,0.1076923076923077
convertase,0.015384615384615385
correction,0.015384615384615385
corrections,0.015384615384615385
count,0.046153846153846156
counts,0.015384615384615385
covariates,0.015384615384615385
criteria,0.015384615384615385
curve,0.03076923076923077
data,0.1076923076923077
dataset,0.015384615384615385
datasets,0.03076923076923077
dbSNP,0.015384615384615385
decay,0.015384615384615385
